architecture,strain,cycle_sequence,delta_R_over_R0_percent
CNT/CB single layer,30%,0.46570275722932075,50.54993400791905
CNT/CB single layer,30%,0.4673839946200403,49.582050153981534
CNT/CB single layer,30%,0.46906523201075995,48.57017157941047
CNT/CB single layer,30%,0.4707464694014795,47.69027716673999
CNT/CB single layer,30%,0.47242770679219903,46.238451385833685
CNT/CB single layer,30%,0.4741089441829186,45.490541135063786
CNT/CB single layer,30%,0.47579018157363817,44.78662560492741
CNT/CB single layer,30%,0.4774714189643578,44.08271007479103
CNT/CB single layer,30%,0.47915265635507737,43.422789265288166
CNT/CB single layer,30%,0.4808338937457969,42.80686317641883
CNT/CB single layer,30%,0.48251513113651645,42.278926528816555
CNT/CB single layer,30%,0.484196368527236,41.794984601847766
CNT/CB single layer,30%,0.48587760591795565,41.311042674879005
CNT/CB single layer,30%,0.4875588433086752,40.82710074791025
CNT/CB single layer,30%,0.48924008069939473,40.21117465904091
CNT/CB single layer,30%,0.4909213180901143,39.63924329080511
CNT/CB single layer,30%,0.49260255548083387,39.243290805103385
CNT/CB single layer,30%,0.4942837928715535,38.847338319401665
CNT/CB single layer,30%,0.49596503026227307,38.36339639243291
CNT/CB single layer,30%,0.4976462676529926,38.011438627364704
CNT/CB single layer,30%,0.49932750504371215,37.659480862296526
CNT/CB single layer,30%,0.5010087424344317,37.30752309722833
CNT/CB single layer,30%,0.5026899798251514,37.04355477342719
CNT/CB single layer,30%,0.5043712172158709,36.73559172899253
CNT/CB single layer,30%,0.5060524546065904,36.427628684557845
CNT/CB single layer,30%,0.50773369199731,36.16366036075671
CNT/CB single layer,30%,0.5094149293880296,35.987681478222605
CNT/CB single layer,30%,0.5110961667787491,35.72371315442147
CNT/CB single layer,30%,0.5127774041694687,35.41575010998681
CNT/CB single layer,30%,0.5144586415601883,35.151781786185644
CNT/CB single layer,30%,0.5161398789509078,34.84381874175099
CNT/CB single layer,30%,0.5178211163416274,34.49186097668281
CNT/CB single layer,30%,0.519502353732347,34.13990321161461
CNT/CB single layer,30%,0.5211835911230666,33.87593488781347
CNT/CB single layer,30%,0.5228648285137861,33.65596128464585
CNT/CB single layer,30%,0.5245460659045057,33.43598768147823
CNT/CB single layer,30%,0.5262273032952253,33.21601407831061
CNT/CB single layer,30%,0.5279085406859448,33.040035195776504
CNT/CB single layer,30%,0.5295897780766644,32.86405631324241
CNT/CB single layer,30%,0.531271015467384,32.644082710074784
CNT/CB single layer,30%,0.5329522528581035,32.46810382754069
CNT/CB single layer,30%,0.5346334902488231,32.20413550373954
CNT/CB single layer,30%,0.5363147276395427,32.02815662120545
CNT/CB single layer,30%,0.5379959650302623,31.940167179938406
CNT/CB single layer,30%,0.5396772024209818,31.764188297404306
CNT/CB single layer,30%,0.5413584398117014,31.45622525296965
CNT/CB single layer,30%,0.543039677202421,31.23625164980203
CNT/CB single layer,30%,0.5447209145931405,31.016278046634405
CNT/CB single layer,30%,0.5464021519838601,30.796304443466788
CNT/CB single layer,30%,0.5480833893745797,30.576330840299164
CNT/CB single layer,30%,0.5497646267652992,30.356357237131547
CNT/CB single layer,30%,0.5514458641560188,30.224373075230965
CNT/CB single layer,30%,0.5531271015467384,30.048394192696865
CNT/CB single layer,30%,0.554808338937458,29.872415310162786
CNT/CB single layer,30%,0.5564895763281775,29.696436427628687
CNT/CB single layer,30%,0.5581708137188971,29.520457545094587
CNT/CB single layer,30%,0.5598520511096167,29.388473383194004
CNT/CB single layer,30%,0.5615332885003362,29.256489221293446
CNT/CB single layer,30%,0.5632145258910558,28.860536735591722
CNT/CB single layer,30%,0.5648957632817754,28.640563132424106
CNT/CB single layer,30%,0.566577000672495,28.55257369115707
CNT/CB single layer,30%,0.5682582380632145,28.37659480862297
CNT/CB single layer,30%,0.5699394754539341,28.244610646722386
CNT/CB single layer,30%,0.5716207128446537,28.068631764188307
CNT/CB single layer,30%,0.5733019502353732,27.980642322921245
CNT/CB single layer,30%,0.5749831876260928,27.760668719753625
CNT/CB single layer,30%,0.5766644250168124,27.58468983721952
CNT/CB single layer,30%,0.5783456624075319,27.496700395952484
CNT/CB single layer,30%,0.5800268997982515,27.364716234051905
CNT/CB single layer,30%,0.5817081371889711,27.188737351517826
CNT/CB single layer,30%,0.5833893745796906,27.056753189617243
CNT/CB single layer,30%,0.5850706119704102,26.880774307083144
CNT/CB single layer,30%,0.5867518493611298,26.616805983282006
CNT/CB single layer,30%,0.5884330867518494,26.440827100747903
CNT/CB single layer,30%,0.5901143241425689,26.30884293884735
CNT/CB single layer,30%,0.5917955615332885,26.264848218213803
CNT/CB single layer,30%,0.5934767989240081,26.176858776946766
CNT/CB single layer,30%,0.5951580363147276,26.044874615046183
CNT/CB single layer,30%,0.5968392737054472,25.516937967443905
CNT/CB single layer,30%,0.5985205110961668,25.428948526176864
CNT/CB single layer,30%,0.6002017484868863,25.3409590849098
CNT/CB single layer,30%,0.6018829858776059,25.252969643642764
CNT/CB single layer,30%,0.6035642232683255,25.164980202375702
CNT/CB single layer,30%,0.605245460659045,25.032996040475147
CNT/CB single layer,30%,0.6069266980497646,24.901011878574565
CNT/CB single layer,30%,0.6086079354404842,24.681038275406944
CNT/CB single layer,30%,0.6102891728312038,24.549054113506386
CNT/CB single layer,30%,0.6119704102219233,24.373075230972287
CNT/CB single layer,30%,0.6136516476126429,24.197096348438187
CNT/CB single layer,30%,0.6153328850033625,24.021117465904084
CNT/CB single layer,30%,0.617014122394082,23.84513858336998
CNT/CB single layer,30%,0.6186953597848016,23.669159700835905
CNT/CB single layer,30%,0.6203765971755212,23.44918609766829
CNT/CB single layer,30%,0.6220578345662408,23.317201935767702
CNT/CB single layer,30%,0.6237390719569603,23.229212494500665
CNT/CB single layer,30%,0.6254203093476798,23.097228332600082
CNT/CB single layer,30%,0.6271015467383995,22.833260008798945
CNT/CB single layer,30%,0.6287827841291191,22.657281126264845
CNT/CB single layer,30%,0.6304640215198386,22.525296964364287
CNT/CB single layer,30%,0.6321452589105582,22.393312802463704
CNT/CB single layer,30%,0.6338264963012776,22.26132864056312
CNT/CB single layer,30%,0.6355077336919973,22.129344478662567
CNT/CB single layer,30%,0.637188971082717,21.997360316761984
CNT/CB single layer,30%,0.6388702084734365,21.777386713594364
CNT/CB single layer,30%,0.640551445864156,21.601407831060264
CNT/CB single layer,30%,0.6422326832548755,21.469423669159703
CNT/CB single layer,30%,0.6439139206455952,21.337439507259123
CNT/CB single layer,30%,0.6455951580363148,21.249450065992086
CNT/CB single layer,30%,0.6472763954270343,21.029476462824466
CNT/CB single layer,30%,0.6489576328177539,20.853497580290366
CNT/CB single layer,30%,0.6506388702084733,20.765508139023325
CNT/CB single layer,30%,0.652320107599193,20.589529256489225
CNT/CB single layer,30%,0.6540013449899127,20.457545094588642
CNT/CB single layer,30%,0.6556825823806322,20.369555653321605
CNT/CB single layer,30%,0.6573638197713517,20.281566212054543
CNT/CB single layer,30%,0.6590450571620712,20.149582050153985
CNT/CB single layer,30%,0.6607262945527909,20.017597888253402
CNT/CB single layer,30%,0.6624075319435105,19.79762428508578
CNT/CB single layer,30%,0.66408876933423,19.62164540255168
CNT/CB single layer,30%,0.6657700067249496,19.489661240651124
CNT/CB single layer,30%,0.667451244115669,19.313682358117024
CNT/CB single layer,30%,0.6691324815063887,19.225692916849983
CNT/CB single layer,30%,0.6708137188971084,19.18169819621644
