group,displacement_mm,tensile_adhesion_kPa
PTPU-10,1.99775,6.148
PTPU-10,2.02441,6.12947
PTPU-10,2.05098,6.11662
PTPU-10,2.07915,6.10125
PTPU-10,2.10752,6.06986
PTPU-10,2.13491,6.05319
PTPU-10,2.16455,6.02943
PTPU-10,2.19087,6.01407
PTPU-10,2.21826,6.00056
PTPU-10,2.24556,5.97243
PTPU-10,2.27373,5.94356
PTPU-10,2.30117,5.92558
PTPU-10,2.33091,5.91338
PTPU-10,2.35723,5.90826
PTPU-10,2.38447,5.90127
PTPU-10,2.41382,5.89615
PTPU-10,2.44023,5.88581
PTPU-10,2.46836,5.88199
PTPU-10,2.49731,5.87882
PTPU-10,2.52368,5.87044
PTPU-10,2.55107,5.83589
PTPU-10,2.58086,5.79034
PTPU-10,2.60635,5.74479
PTPU-10,2.63457,5.72877
PTPU-10,2.66372,5.7243
PTPU-10,2.69014,5.71536
PTPU-10,2.71826,5.70828
PTPU-10,2.74727,5.70446
PTPU-10,2.77393,5.69934
PTPU-10,2.80112,5.69487
PTPU-10,2.83032,5.68779
PTPU-10,2.85679,5.68006
PTPU-10,2.88442,5.66851
PTPU-10,2.91353,5.65957
PTPU-10,2.94014,5.64672
PTPU-10,2.96812,5.6307
PTPU-10,2.99678,5.61151
PTPU-10,3.02354,5.58459
PTPU-10,3.05176,5.55125
PTPU-10,3.07988,5.53196
PTPU-10,3.10752,5.51855
PTPU-10,3.13467,5.50766
PTPU-10,3.16348,5.50188
PTPU-10,3.18989,5.49676
PTPU-10,3.21997,5.49163
PTPU-10,3.24644,5.48651
PTPU-10,3.27373,5.48204
PTPU-10,3.30098,5.48009
PTPU-10,3.32998,5.47301
PTPU-10,3.35728,5.46602
PTPU-10,3.38618,5.45764
PTPU-10,3.4127,5.44935
PTPU-10,3.43999,5.43454
PTPU-10,3.46992,5.42047
PTPU-10,3.49639,5.40576
PTPU-10,3.52354,5.39672
PTPU-10,3.55332,5.38135
PTPU-10,3.57891,5.37241
PTPU-10,3.60645,5.36664
PTPU-10,3.63638,5.35509
PTPU-10,3.66284,5.34484
PTPU-10,3.69014,5.33329
PTPU-10,3.71929,5.31793
PTPU-10,3.7459,5.3006
PTPU-10,3.77388,5.28328
PTPU-10,3.80259,5.26279
PTPU-10,3.82866,5.22236
PTPU-10,3.85693,5.19479
PTPU-10,3.88584,5.15958
PTPU-10,3.9124,5.11152
PTPU-10,3.93984,5.0942
PTPU-10,3.96948,5.08265
PTPU-10,3.99595,5.0724
PTPU-10,4.02349,5.0589
PTPU-10,4.05249,5.00953
PTPU-10,4.07905,4.95961
PTPU-10,4.10732,4.95188
PTPU-10,4.13643,4.94992
PTPU-10,4.16206,4.94741
PTPU-10,4.19004,4.9461
PTPU-10,4.21924,4.9461
PTPU-10,4.2457,4.9461
PTPU-10,4.27393,4.94294
PTPU-10,4.30239,4.9461
PTPU-10,4.32954,4.94545
PTPU-10,4.35679,4.94676
PTPU-10,4.38564,4.9461
PTPU-10,4.41226,4.94927
PTPU-10,4.44048,4.9448
PTPU-10,4.4686,4.94415
