group,displacement_mm,peel_strength_2F_over_W_N_per_m
Fr-PA-10,8.04033,268.42134
Fr-PA-10,8.06782,267.78052
Fr-PA-10,8.0978,269.84456
Fr-PA-10,8.12422,270.9995
Fr-PA-10,8.15171,271.23048
Fr-PA-10,8.18062,271.49875
Fr-PA-10,8.20698,271.26775
Fr-PA-10,8.23428,270.81881
Fr-PA-10,8.26431,271.04981
Fr-PA-10,8.29082,271.40932
Fr-PA-10,8.31816,272.10231
Fr-PA-10,8.34717,272.16563
Fr-PA-10,8.37368,270.94734
Fr-PA-10,8.40103,269.40863
Fr-PA-10,8.43081,269.92278
Fr-PA-10,8.45718,270.92125
Fr-PA-10,8.48394,270.49839
Fr-PA-10,8.51406,269.98613
Fr-PA-10,8.54053,269.80729
Fr-PA-10,8.56772,269.82033
Fr-PA-10,8.59512,270.75548
Fr-PA-10,8.62412,270.94734
Fr-PA-10,8.65146,271.42236
Fr-PA-10,8.68066,272.87166
Fr-PA-10,8.70713,272.69096
Fr-PA-10,8.73452,272.29416
Fr-PA-10,8.76431,271.61424
Fr-PA-10,8.79097,271.3702
Fr-PA-10,8.81826,270.94734
Fr-PA-10,8.84688,271.01254
Fr-PA-10,8.87363,271.70365
Fr-PA-10,8.90112,272.92194
Fr-PA-10,8.92861,273.64099
Fr-PA-10,8.95703,273.41001
Fr-PA-10,8.98442,273.67826
Fr-PA-10,9.01177,273.30756
Fr-PA-10,9.04077,272.57545
Fr-PA-10,9.06831,272.78037
Fr-PA-10,9.09736,272.85862
Fr-PA-10,9.12383,272.25506
Fr-PA-10,9.15112,271.61424
Fr-PA-10,9.17866,271.79308
Fr-PA-10,9.20752,271.65337
Fr-PA-10,9.23472,272.74311
Fr-PA-10,9.26392,274.07691
Fr-PA-10,9.29043,273.87013
Fr-PA-10,9.31787,272.69096
Fr-PA-10,9.34556,271.90857
Fr-PA-10,9.37373,272.64066
Fr-PA-10,9.40103,273.06352
Fr-PA-10,9.43101,273.58885
Fr-PA-10,9.45762,274.42153
Fr-PA-10,9.48501,275.87082
Fr-PA-10,9.51406,275.17784
Fr-PA-10,9.54058,274.24269
Fr-PA-10,9.56782,272.55125
Fr-PA-10,9.5977,272.53821
Fr-PA-10,9.62417,273.99867
Fr-PA-10,9.65054,275.48707
Fr-PA-10,9.68057,276.17817
Fr-PA-10,9.70732,275.81866
Fr-PA-10,9.73452,275.61374
Fr-PA-10,9.76436,275.42186
Fr-PA-10,9.79092,274.9599
Fr-PA-10,9.81812,275.42186
Fr-PA-10,9.84712,275.87082
Fr-PA-10,9.87388,275.4349
Fr-PA-10,9.90117,274.62645
Fr-PA-10,9.93101,275.63982
Fr-PA-10,9.95752,275.76835
Fr-PA-10,9.98501,275.21696
Fr-PA-10,10.01392,275.05116
Fr-PA-10,10.04019,274.37124
Fr-PA-10,10.06768,275.07539
Fr-PA-10,10.09761,275.3958
Fr-PA-10,10.12407,273.97258
Fr-PA-10,10.15093,272.40968
Fr-PA-10,10.18066,272.22898
Fr-PA-10,10.20698,271.84522
Fr-PA-10,10.23428,271.49875
Fr-PA-10,10.26426,272.15259
Fr-PA-10,10.29014,273.21627
Fr-PA-10,10.31831,274.3582
Fr-PA-10,10.34736,273.48638
Fr-PA-10,10.37383,272.94803
Fr-PA-10,10.40117,273.26844
Fr-PA-10,10.43091,273.70434
Fr-PA-10,10.45645,274.40848
Fr-PA-10,10.48408,274.51282
Fr-PA-10,10.51411,273.12686
Fr-PA-10,10.54058,272.83254
Fr-PA-10,10.56782,272.71702
Fr-PA-10,10.59766,272.49908
Fr-PA-10,10.62324,272.33329
Fr-PA-10,10.65142,272.79341
Fr-PA-10,10.68052,273.12686
Fr-PA-10,10.70698,272.40968
Fr-PA-10,10.73433,272.53821
Fr-PA-10,10.76411,273.70434
Fr-PA-10,10.78994,274.58918
Fr-PA-10,10.81802,274.14024
Fr-PA-10,10.84678,273.10078
Fr-PA-10,10.87349,272.51213
Fr-PA-10,10.90098,271.88435
Fr-PA-10,10.93076,271.84522
Fr-PA-10,10.95649,272.4227
Fr-PA-10,10.98457,272.38359
Fr-PA-10,11.01333,272.75615
Fr-PA-10,11.03984,273.38393
Fr-PA-10,11.06821,274.19055
Fr-PA-10,11.09727,275.65286
Fr-PA-10,11.12378,276.61409
Fr-PA-10,11.15117,275.72923
